source_index,source_excel_row,calculator_key,catalog_id,canonical_name,catalog_url,source_label,source_disease,study,cutoff,catalog_purpose,sampling_design,data_source,provenance,confidence,confidence_group,evidence_group,exact_outcome_note,N,tp,fp,fn,tn,n_positive,positive_fraction,observed_prevalence,post_positive_risk,post_positive_risk_lo,post_positive_risk_hi,highest_rulein_threshold_supported
10,12,mdcalc:2203,2203,Absolute Lymphocyte Count (ALC),https://www.mdcalc.com/calc/2203/absolute-lymphocyte-count-alc,Absolute Lymphocyte Count (ALC) (not a validation study),"HIV/AIDS, immunodeficiency","Kakar A, Beri R, Gogia A, Byotra SP, Prakash V, Kumar S, Bhargava M. Absolute lymphocyte count: a cost-effective method of monitoring HIV-infected individuals. Indian J Pathol Microbiol. 2011;54(1):107–111. PMID: 21393889.","ALC ≤1,200 cells/mm³ predicts CD4 ≤200 cells/mm³","Diagnosis, Formula",Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,182,38,11,21,112,49,0.2692307692,0.3241758242,0.7755102041,0.6412121276,0.8697502985,0.2
11,13,mdcalc:10640,10640,Academic Research Consortium for High Bleeding Risk (ARC-HBR) Criteria,https://www.mdcalc.com/calc/10640/academic-research-consortium-high-bleeding-risk-arc-hbr-criteria,Academic Research Consortium for High Bleeding Risk (ARC-HBR) Criteria,BARC type 3 or 5 major bleeding within 1 year after PCI,"Ueki et al., 2020, Validation of the ARC-HBR criteria in patients undergoing PCI",ARC-HBR positive: ≥1 major criterion or ≥2 minor criteria,Prognosis,Unclear,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,12121,305,4476,140,7200,4781,0.3944394027,0.03671314248,0.06379418532,0.05721100487,0.07107777212,0.05
12,14,mdcalc:568,568,Acetaminophen Overdose and NAC Dosing,https://www.mdcalc.com/calc/568/acetaminophen-overdose-nac-dosing,Acetaminophen Overdose and NAC Dosing,Acetaminophen-induced hepatotoxicity following acute overdose,"Chomchai et al., 2026, Diagnostic Utility of the Paracetamol Concentration–Aminotransferase Activity Multiplication Product","Rumack–Matthew 150-treatment line: 150 mg/L at 4 hours, declining to approximately 4.7 mg/L at 24 hours","Diagnosis, Treatment",Unclear,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,934,57,349,0,528,406,0.4346895075,0.06102783726,0.1403940887,0.1099633184,0.1775660574,0.1
13,15,mdcalc:10092,10092,ACR/EULAR 2010 Rheumatoid Arthritis Classification Criteria,https://www.mdcalc.com/calc/10092/acr-eular-2010-rheumatoid-arthritis-classification-criteria,ACR/EULAR 2010 Rheumatoid Arthritis Classification Criteria,Early rheumatoid arthritis requiring methotrexate treatment within 1 year,"Britsemmer et al., 2011, Validation of the 2010 ACR/EULAR Classification Criteria for Rheumatoid Arthritis: Slight Improvement Over the 1987 ACR Criteria","Score ≥6/10, after confirming synovitis in ≥1 joint and excluding a better alternative diagnosis",Diagnosis,Unclear,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,455,302,51,52,50,353,0.7758241758,0.778021978,0.8555240793,0.8150191346,0.8883744701,0.2
14,16,mdcalc:2195,2195,ACR/EULAR Gout Classification Criteria,https://www.mdcalc.com/calc/2195/acr-eular-gout-classification-criteria,ACR/EULAR Gout Classification Criteria,MSU crystal-confirmed gout in patients presenting with acute monoarthritis,"Janssens et al., 2017, Performance of the 2015 ACR-EULAR Classification Criteria for Gout in a Primary Care Population Presenting With Monoarthritis","Total score ≥8; MSU crystals in a symptomatic joint, bursa, or tophus independently satisfy classification",Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,381,147,3,69,162,150,0.3937007874,0.5669291339,0.98,0.9428533167,0.9931752487,0.2
15,17,mdcalc:10020,10020,ACTION ICU Score for Intensive Care in NSTEMI,https://www.mdcalc.com/calc/10020/action-icu-score-intensive-care-nstemi,ACTION ICU Score for Intensive Care in NSTEMI,Development of an in-hospital complication requiring ICU-level care after initially stable NSTEMI,"Vásquez-Rodríguez et al., 2023, Risk of Complications After a Non-ST-Segment Elevation Acute Myocardial Infarction in a Latin-American Cohort: An Application of the ACTION ICU Score",Study-optimized cutoff: score >3 considered higher risk; scores ≤3 considered lower risk,Prognosis,Cohort/consecutive,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1062,72,835,3,152,907,0.8540489642,0.07062146893,0.07938257993,0.06351099664,0.09880205728,0.05
16,18,mdcalc:2175,2175,Acute Gout Diagnosis Rule,https://www.mdcalc.com/calc/2175/acute-gout-diagnosis-rule,Acute Gout Diagnosis Rule,MSU crystal-confirmed acute gout versus culture-confirmed septic arthritis in patients with acute monoarthritis,"Lee et al., 2015, Application of a Novel Diagnostic Rule in the Differential Diagnosis Between Acute Gouty Arthritis and Septic Arthritis",Score ≥8 positive/high probability; score <8 treated as negative for this binary matrix,Diagnosis,Unclear,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,136,61,3,21,51,64,0.4705882353,0.6029411765,0.953125,0.8710034626,0.9839309832,0.2
17,19,mdcalc:10634,10634,Acute Pancreatitis Prediction Model,https://www.mdcalc.com/calc/10634/acute-pancreatitis-prediction-model,Acute Pancreatitis Prediction Model,Acute pancreatitis in patients presenting with serum lipase ≥3 times the upper limit of normal,"Jin et al., 2024, Prospective Validation of a Prediction Model for the Diagnosis of Acute Pancreatitis",Score ≥6 points,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,349,128,27,29,165,155,0.4441260745,0.4498567335,0.8258064516,0.758420852,0.877433293,0.2
18,20,mdcalc:1857,1857,ADAPT Protocol for Cardiac Event Risk,https://www.mdcalc.com/calc/1857/adapt-protocol-cardiac-event-risk,ADAPT Protocol for Cardiac Event Risk,30-day major adverse cardiac event in patients presenting with possible acute coronary syndrome,"Than et al., 2012, ADAPT Trial","Low risk/test negative: TIMI score 0, no ischemic ECG changes, and troponin below the institutional cutoff at both 0 and 2 hours; failure of any criterion is test positiv","Algorithm, Prognosis, Rule Out",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1975,301,1282,1,391,1583,0.8015189873,0.1529113924,0.1901452937,0.171573259,0.210217534,0.1
19,21,mdcalc:3909,3909,Additional Nodal Metastasis Nomogram,https://www.mdcalc.com/calc/3909/additional-nodal-metastasis-nomogram,Additional Nodal Metastasis Nomogram,Additional non-sentinel lymph-node metastasis in sentinel-node-positive breast cancer,"Vieni et al., 2016",Nomogram probability >50% = positive/high risk; ≤50% = negative/low risk,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,175,72,18,6,79,90,0.5142857143,0.4457142857,0.8,0.7058626365,0.8695759882,0.2
20,22,mdcalc:1730,1730,Adult Self-Report Scale (ASRS v1.1) for ADHD,https://www.mdcalc.com/calc/1730/adult-self-report-scale-asrs-adhd,Adult Self-Report Scale (ASRS v1.1) for ADHD,Adult attention-deficit/hyperactivity disorder,"van de Glind et al., 2013",Positive screen: ≥4 of the six ASRS Part A items in their designated shaded response categories,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1138,120,304,24,690,424,0.3725834798,0.1265377856,0.2830188679,0.2422383334,0.3276958181,0.2
21,23,mdcalc:10138,10138,Age-Adjusted D-dimer for Venous Thromboembolism (VTE),https://www.mdcalc.com/calc/10138/age-adjusted-d-dimer-venous-thromboembolism-vte,Age-Adjusted D-dimer for Venous Thromboembolism (VTE),Pulmonary embolism in adults >50 years with suspected PE,"Sharp et al., 2016",Positive: D-dimer ≥age × 10 µg/L FEU for patients >50 years; negative: below age-adjusted threshold,"Diagnosis, Rule Out",Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,31094,471,11042,36,19545,11513,0.3702643597,0.01630539654,0.04091027534,0.03744251036,0.04468430038,0.02
22,24,mdcalc:3801,3801,AIMS65 Score for Upper GI Bleeding Mortality,https://www.mdcalc.com/calc/3801/aims65-score-upper-gi-bleeding-mortality,AIMS65 Score for Upper GI Bleeding Mortality,In-hospital mortality in adults with upper gastrointestinal bleeding,"Kılıç et al., 2023",AIMS65 ≥2 predicts high risk; 0–1 predicts low risk,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,592,25,128,6,433,153,0.2584459459,0.05236486486,0.1633986928,0.1131955424,0.2300903415,0.1
23,25,mdcalc:10070,10070,ALBI (Albumin-Bilirubin) Grade for Hepatocellular Carcinoma (HCC),https://www.mdcalc.com/calc/10070/albi-albumin-bilirubin-grade-hepatocellular-carcinoma-hcc,ALBI (Albumin-Bilirubin) Grade for Hepatocellular Carcinoma (HCC),Progression to malignant middle cerebral artery infarction after acute MCA ischemic stroke,"MacCallum et al., 2014",ASPECTS ≤7 = positive/high risk; ASPECTS >7 = negative/lower risk,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,226,54,16,54,102,70,0.3097345133,0.4778761062,0.7714285714,0.6604966841,0.8541193678,0.2
24,26,mdcalc:3998,3998,ALT-70 Score for Cellulitis,https://www.mdcalc.com/calc/3998/alt-70-score-cellulitis,ALT-70 Score for Cellulitis,Lower-extremity cellulitis versus pseudocellulitis,"Pulia et al., 2024",Binary validation cutoff: ALT-70 ≥3 = positive; ≤2 = negative,Prognosis,Unclear,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,175,83,71,1,20,154,0.88,0.48,0.538961039,0.4602418899,0.6157837633,0.2
25,27,mdcalc:10343,10343,Altitude-Adjusted PERC Rule,https://www.mdcalc.com/calc/10343/altitude-adjusted-perc-rule,Altitude-Adjusted PERC Rule,Pulmonary embolism,"Wolf et al., 2008, Assessment of the Pulmonary Embolism Rule-out Criteria rule for evaluation of suspected pulmonary embolism in the emergency department","PERC negative when all eight criteria absent; altitude-adjusted oxygen-saturation threshold ≥90% at approximately 5,280 ft","Diagnosis, Rule Out",Unclear,v1_raw,human-extracted,Low-moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,134,16,99,0,19,115,0.8582089552,0.1194029851,0.1391304348,0.08748931431,0.2141012179,0.05
26,28,mdcalc:617,617,Alvarado Score for Acute Appendicitis,https://www.mdcalc.com/calc/617/alvarado-score-acute-appendicitis,Alvarado Score for Acute Appendicitis,Appendicitis,"McKay, Robert, and Jessica Shepherd. “The use of the clinical scoring system by Alvarado in the decision to perform computed tomography for acute appendicitis in the ED.” The American journal of emergency medicine vol. 25,5 (2007): 489-93. doi:10.1016/j.ajem.2006.08.020",Score ≥7 (rule in),Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,147,28,8,23,88,36,0.2448979592,0.3469387755,0.7777777778,0.6191529705,0.8828366802,0.2
27,29,mdcalc:617,617,Alvarado Score for Acute Appendicitis,https://www.mdcalc.com/calc/617/alvarado-score-acute-appendicitis,Alvarado Score for Acute Appendicitis,Appendicitis,"McKay, Robert, and Jessica Shepherd. “The use of the clinical scoring system by Alvarado in the decision to perform computed tomography for acute appendicitis in the ED.” The American journal of emergency medicine vol. 25,5 (2007): 489-93. doi:10.1016/j.ajem.2006.08.021",Score <4 (rule out); test-positive threshold ≥4,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,147,49,43,2,53,92,0.6258503401,0.3469387755,0.5326086957,0.431404567,0.6311988207,0.2
28,30,mdcalc:4020,4020,American Diabetes Association (ADA) Risk Calculator,https://www.mdcalc.com/calc/4020/american-diabetes-association-ada-risk-calculator,American Diabetes Association (ADA) Risk Calculator,Undiagnosed type 2 diabetes,"Woo et al., 2017, Validation of the diabetes screening tools proposed by the American Diabetes Association in an aging Chinese population",ADA risk score ≥5,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1415,76,571,19,749,647,0.4572438163,0.06713780919,0.1174652241,0.09488413706,0.144561978,0.05
29,31,mdcalc:10439,10439,American University of Beirut (AUB)-HAS2 Cardiovascular Risk Index,https://www.mdcalc.com/calc/10439/american-university-beirut-aub-has2-cardiovascular-risk-index,American University of Beirut (AUB)-HAS2 Cardiovascular Risk Index,"Perioperative death, myocardial infarction, or stroke after noncardiac surgery","Li et al., 2026, Performance of the AUB-HAS2 cardiovascular risk index in coronary artery disease: a multicenter retrospective cohort study",AUB-HAS2 ≥2,Prognosis,Cohort/consecutive,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,10294,273,3218,101,6702,3491,0.3391295901,0.03633184379,0.07820108851,0.06975124443,0.08757819821,0.05
30,32,mdcalc:4060,4060,Aortic Dissection Detection Risk Score (ADD-RS),https://www.mdcalc.com/calc/4060/aortic-dissection-detection-risk-score-add-rs,Aortic Dissection Detection Risk Score (ADD-RS),Acute aortic syndrome,"Nazerian et al., 2018, Diagnostic Accuracy of the Aortic Dissection Detection Risk Score Plus D-Dimer for Acute Aortic Syndromes: The ADvISED Prospective Multicenter Study",ADD-RS ≥1,"Diagnosis, Rule Out",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1850,229,1183,12,426,1412,0.7632432432,0.1302702703,0.1621813031,0.1438753462,0.1823203983,0.1
31,33,mdcalc:1868,1868,APACHE II Score,https://www.mdcalc.com/calc/1868/apache-ii-score,APACHE II Score,In-hospital mortality among adult ICU patients,"Tian et al., 2022, Dynamic APACHE II Score to Predict the Outcome of Intensive Care Unit Patients",Day-3 APACHE II ≥17,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,6374,928,3081,288,2077,4009,0.6289614057,0.1907750235,0.2314791719,0.2186838326,0.2447886165,0.2
32,34,mdcalc:10104,10104,Apfel Score for Postoperative Nausea and Vomiting,https://www.mdcalc.com/calc/10104/apfel-score-postoperative-nausea-vomiting,Apfel Score for Postoperative Nausea and Vomiting,Postoperative nausea or vomiting within 24 hours,"Sherif et al., 2015, Validation of the Apfel Scoring System for Identification of High-risk Patients for PONV",Apfel score ≥3,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,150,36,18,27,69,54,0.36,0.42,0.6666666667,0.533609636,0.7775858346,0.2
33,35,mdcalc:23,23,APGAR Score,https://www.mdcalc.com/calc/23/apgar-score,APGAR Score,Mortality before discharge in very-preterm infants,"Ehrhardt et al., EPICE-SHIPS multinational prospective population-based cohort, published online 2025",5-minute APGAR <7,"Prognosis, Formula",Cohort/consecutive,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,7396,534,960,406,5496,1494,0.2020010817,0.1270957274,0.3574297189,0.3335225514,0.3820681759,0.2
34,36,mdcalc:3984,3984,Appendicitis Inflammatory Response (AIR) Score,https://www.mdcalc.com/calc/3984/appendicitis-inflammatory-response-air-score,Appendicitis Inflammatory Response (AIR) Score,Acute appendicitis,"Andersson et al., 2021, prospective multicenter external validation at 25 Swedish hospitals",AIR ≥5,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,3878,1377,921,168,1412,2298,0.5925734915,0.3984012378,0.5992167102,0.5790307656,0.6190714965,0.2
35,37,mdcalc:10022,10022,ARISCAT Score for Postoperative Pulmonary Complications,https://www.mdcalc.com/calc/10022/ariscat-score-postoperative-pulmonary-complications,ARISCAT Score for Postoperative Pulmonary Complications,Postoperative pulmonary complications,"Mazo et al., 2014, PERISCOPE prospective external validation across 63 European centers",ARISCAT ≥26,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,5099,280,1162,124,3533,1442,0.2828005491,0.07923122181,0.1941747573,0.1745817148,0.2153928951,0.1
36,38,mdcalc:306,306,ASAS Criteria for Axial Spondyloarthritis (SpA),https://www.mdcalc.com/calc/306/asas-criteria-axial-spondyloarthritis-spa,ASAS Criteria for Axial Spondyloarthritis (SpA),Axial spondyloarthritis,"Rudwaleit et al., 2009, prospective international ASAS development and validation cohort",Meets either complete imaging arm or clinical arm,Diagnosis,Cohort/consecutive,v1_raw,human-extracted,Moderate -high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,649,324,40,67,218,364,0.5608628659,0.6024653313,0.8901098901,0.8538163778,0.9182553754,0.2
37,39,mdcalc:10032,10032,ASAS Criteria for Peripheral SpondyloArthritis (SpA),https://www.mdcalc.com/calc/10032/asas-criteria-peripheral-spondyloarthritis-spa,ASAS Criteria for Peripheral Spondyloarthritis (SpA),Peripheral spondyloarthritis,"Rudwaleit et al., 2011, prospective international ASAS development and validation cohort",Meets complete ASAS peripheral SpA criteria,Diagnosis,Cohort/consecutive,v1_raw,human-extracted,Moderate -high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,266,137,16,39,74,153,0.5751879699,0.6616541353,0.8954248366,0.836880161,0.9345995288,0.2
38,40,mdcalc:3398,3398,ASCVD 2013 Risk Calculator,https://www.mdcalc.com/calc/3398/ascvd-atherosclerotic-cardiovascular-disease-2013-risk-calculator-aha-acc,ASCVD 2013 Risk Calculator from AHA/ACC,First major ASCVD event within 10 years,"Chia et al., 2014, 10-year retrospective external validation in a Malaysian primary-care cohort",Predicted 10-year ASCVD risk ≥7.5%,"Prognosis, Formula",Cohort/consecutive,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,922,37,518,8,359,555,0.6019522777,0.04880694143,0.06666666667,0.04875073665,0.09054003642,0.02
39,41,mdcalc:3094,3094,AST to Platelet Ratio Index (APRI),https://www.mdcalc.com/calc/3094/ast-platelet-ratio-index-apri,AST to Platelet Ratio Index (APRI),Histologic cirrhosis in chronic hepatitis B,"Chen et al., 2013, liver-biopsy-referenced split-sample validation cohort",APRI ≥2.0,Formula,Cohort/consecutive,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,148,12,8,7,121,20,0.1351351351,0.1283783784,0.6,0.3865815008,0.7811934676,0.2
40,42,mdcalc:10495,10495,Asthma Impairment and Risk Questionnaire (AIRQ),https://www.mdcalc.com/calc/10495/asthma-impairment-risk-questionnaire-airq,Asthma Impairment and Risk Questionnaire (AIRQ),Not well-controlled or very poorly controlled asthma,"Kanniess et al., 2024, external cross-sectional validation of the German AIRQ",AIRQ ≥2,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,300,175,17,29,79,192,0.64,0.68,0.9114583333,0.8627904694,0.9439845667,0.2
41,43,mdcalc:3381,3381,Asthma Predictive Index (API),https://www.mdcalc.com/calc/3381/asthma-predictive-index-api,Asthma Predictive Index (API),Active asthma at age 5–6 years among preschool children with recurrent wheezing,"Rodríguez-Martínez CE, Sossa-Briceño MP, Castro-Rodríguez JA. Pediatric Pulmonology. 2011;46:1175–1181. Prospective external validation in Bogotá, Colombia.",Positive stringent API: ≥3 wheezing episodes/year plus ≥1 major criterion or ≥2 minor criteria,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,124,12,20,16,76,32,0.2580645161,0.2258064516,0.375,0.2293388731,0.5474559265,0.2
42,44,mdcalc:3967,3967,ASTRAL Score for Ischemic Stroke,https://www.mdcalc.com/calc/3967/astral-score-stroke,ASTRAL Score for Ischemic Stroke,"Poor 3-month functional outcome following acute ischemic stroke, defined as mRS 3–6","Kuroda et al. Comparative analysis of prognostic scores for functional outcome after ischemic stroke. Journal of the Neurological Sciences, 2025. External validation using the prospective multicenter Fukuoka Stroke Registry.","ASTRAL score ≥31, corresponding to an estimated ≥50% probability of unfavorable outcome",Prognosis,Unclear,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,5830,1474,940,488,2928,2414,0.4140651801,0.336535163,0.6106048053,0.5909921618,0.6298659917,0.2
