source_index,source_excel_row,calculator_key,catalog_id,canonical_name,catalog_url,source_label,source_disease,study,cutoff,catalog_purpose,sampling_design,data_source,provenance,confidence,confidence_group,evidence_group,exact_outcome_note,N,tp,fp,fn,tn,n_negative,negative_fraction,observed_prevalence,post_negative_risk,post_negative_risk_lo,post_negative_risk_hi,lowest_ruleout_threshold_supported
10,12,mdcalc:2203,2203,Absolute Lymphocyte Count (ALC),https://www.mdcalc.com/calc/2203/absolute-lymphocyte-count-alc,Absolute Lymphocyte Count (ALC) (not a validation study),"HIV/AIDS, immunodeficiency","Kakar A, Beri R, Gogia A, Byotra SP, Prakash V, Kumar S, Bhargava M. Absolute lymphocyte count: a cost-effective method of monitoring HIV-infected individuals. Indian J Pathol Microbiol. 2011;54(1):107–111. PMID: 21393889.","ALC ≤1,200 cells/mm³ predicts CD4 ≤200 cells/mm³","Diagnosis, Formula",Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,182,38,11,21,112,133,0.7307692308,0.3241758242,0.1578947368,0.1056531375,0.229343721,
11,13,mdcalc:10640,10640,Academic Research Consortium for High Bleeding Risk (ARC-HBR) Criteria,https://www.mdcalc.com/calc/10640/academic-research-consortium-high-bleeding-risk-arc-hbr-criteria,Academic Research Consortium for High Bleeding Risk (ARC-HBR) Criteria,BARC type 3 or 5 major bleeding within 1 year after PCI,"Ueki et al., 2020, Validation of the ARC-HBR criteria in patients undergoing PCI",ARC-HBR positive: ≥1 major criterion or ≥2 minor criteria,Prognosis,Unclear,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,12121,305,4476,140,7200,7340,0.6055605973,0.03671314248,0.01907356948,0.01618664857,0.02246362192,0.05
12,14,mdcalc:568,568,Acetaminophen Overdose and NAC Dosing,https://www.mdcalc.com/calc/568/acetaminophen-overdose-nac-dosing,Acetaminophen Overdose and NAC Dosing,Acetaminophen-induced hepatotoxicity following acute overdose,"Chomchai et al., 2026, Diagnostic Utility of the Paracetamol Concentration–Aminotransferase Activity Multiplication Product","Rumack–Matthew 150-treatment line: 150 mg/L at 4 hours, declining to approximately 4.7 mg/L at 24 hours","Diagnosis, Treatment",Unclear,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,934,57,349,0,528,528,0.5653104925,0.06102783726,0,0,0.007222939763,0.01
13,15,mdcalc:10092,10092,ACR/EULAR 2010 Rheumatoid Arthritis Classification Criteria,https://www.mdcalc.com/calc/10092/acr-eular-2010-rheumatoid-arthritis-classification-criteria,ACR/EULAR 2010 Rheumatoid Arthritis Classification Criteria,Early rheumatoid arthritis requiring methotrexate treatment within 1 year,"Britsemmer et al., 2011, Validation of the 2010 ACR/EULAR Classification Criteria for Rheumatoid Arthritis: Slight Improvement Over the 1987 ACR Criteria","Score ≥6/10, after confirming synovitis in ≥1 joint and excluding a better alternative diagnosis",Diagnosis,Unclear,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,455,302,51,52,50,102,0.2241758242,0.778021978,0.5098039216,0.4142102143,0.6046859727,
14,16,mdcalc:2195,2195,ACR/EULAR Gout Classification Criteria,https://www.mdcalc.com/calc/2195/acr-eular-gout-classification-criteria,ACR/EULAR Gout Classification Criteria,MSU crystal-confirmed gout in patients presenting with acute monoarthritis,"Janssens et al., 2017, Performance of the 2015 ACR-EULAR Classification Criteria for Gout in a Primary Care Population Presenting With Monoarthritis","Total score ≥8; MSU crystals in a symptomatic joint, bursa, or tophus independently satisfy classification",Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,381,147,3,69,162,231,0.6062992126,0.5669291339,0.2987012987,0.2433644952,0.3606236572,
15,17,mdcalc:10020,10020,ACTION ICU Score for Intensive Care in NSTEMI,https://www.mdcalc.com/calc/10020/action-icu-score-intensive-care-nstemi,ACTION ICU Score for Intensive Care in NSTEMI,Development of an in-hospital complication requiring ICU-level care after initially stable NSTEMI,"Vásquez-Rodríguez et al., 2023, Risk of Complications After a Non-ST-Segment Elevation Acute Myocardial Infarction in a Latin-American Cohort: An Application of the ACTION ICU Score",Study-optimized cutoff: score >3 considered higher risk; scores ≤3 considered lower risk,Prognosis,Cohort/consecutive,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1062,72,835,3,152,155,0.1459510358,0.07062146893,0.01935483871,0.006603876722,0.05535386966,0.1
16,18,mdcalc:2175,2175,Acute Gout Diagnosis Rule,https://www.mdcalc.com/calc/2175/acute-gout-diagnosis-rule,Acute Gout Diagnosis Rule,MSU crystal-confirmed acute gout versus culture-confirmed septic arthritis in patients with acute monoarthritis,"Lee et al., 2015, Application of a Novel Diagnostic Rule in the Differential Diagnosis Between Acute Gouty Arthritis and Septic Arthritis",Score ≥8 positive/high probability; score <8 treated as negative for this binary matrix,Diagnosis,Unclear,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,136,61,3,21,51,72,0.5294117647,0.6029411765,0.2916666667,0.1993805619,0.4050574267,
17,19,mdcalc:10634,10634,Acute Pancreatitis Prediction Model,https://www.mdcalc.com/calc/10634/acute-pancreatitis-prediction-model,Acute Pancreatitis Prediction Model,Acute pancreatitis in patients presenting with serum lipase ≥3 times the upper limit of normal,"Jin et al., 2024, Prospective Validation of a Prediction Model for the Diagnosis of Acute Pancreatitis",Score ≥6 points,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,349,128,27,29,165,194,0.5558739255,0.4498567335,0.1494845361,0.106141086,0.2064398017,
18,20,mdcalc:1857,1857,ADAPT Protocol for Cardiac Event Risk,https://www.mdcalc.com/calc/1857/adapt-protocol-cardiac-event-risk,ADAPT Protocol for Cardiac Event Risk,30-day major adverse cardiac event in patients presenting with possible acute coronary syndrome,"Than et al., 2012, ADAPT Trial","Low risk/test negative: TIMI score 0, no ischemic ECG changes, and troponin below the institutional cutoff at both 0 and 2 hours; failure of any criterion is test positiv","Algorithm, Prognosis, Rule Out",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1975,301,1282,1,391,392,0.1984810127,0.1529113924,0.002551020408,0.0004504597676,0.01430660696,0.02
19,21,mdcalc:3909,3909,Additional Nodal Metastasis Nomogram,https://www.mdcalc.com/calc/3909/additional-nodal-metastasis-nomogram,Additional Nodal Metastasis Nomogram,Additional non-sentinel lymph-node metastasis in sentinel-node-positive breast cancer,"Vieni et al., 2016",Nomogram probability >50% = positive/high risk; ≤50% = negative/low risk,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,175,72,18,6,79,85,0.4857142857,0.4457142857,0.07058823529,0.03275096311,0.1455605936,0.2
20,22,mdcalc:1730,1730,Adult Self-Report Scale (ASRS v1.1) for ADHD,https://www.mdcalc.com/calc/1730/adult-self-report-scale-asrs-adhd,Adult Self-Report Scale (ASRS v1.1) for ADHD,Adult attention-deficit/hyperactivity disorder,"van de Glind et al., 2013",Positive screen: ≥4 of the six ASRS Part A items in their designated shaded response categories,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1138,120,304,24,690,714,0.6274165202,0.1265377856,0.03361344538,0.02269055465,0.04952798077,0.05
21,23,mdcalc:10138,10138,Age-Adjusted D-dimer for Venous Thromboembolism (VTE),https://www.mdcalc.com/calc/10138/age-adjusted-d-dimer-venous-thromboembolism-vte,Age-Adjusted D-dimer for Venous Thromboembolism (VTE),Pulmonary embolism in adults >50 years with suspected PE,"Sharp et al., 2016",Positive: D-dimer ≥age × 10 µg/L FEU for patients >50 years; negative: below age-adjusted threshold,"Diagnosis, Rule Out",Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,31094,471,11042,36,19545,19581,0.6297356403,0.01630539654,0.00183851693,0.001328363824,0.0025440933,0.005
22,24,mdcalc:3801,3801,AIMS65 Score for Upper GI Bleeding Mortality,https://www.mdcalc.com/calc/3801/aims65-score-upper-gi-bleeding-mortality,AIMS65 Score for Upper GI Bleeding Mortality,In-hospital mortality in adults with upper gastrointestinal bleeding,"Kılıç et al., 2023",AIMS65 ≥2 predicts high risk; 0–1 predicts low risk,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,592,25,128,6,433,439,0.7415540541,0.05236486486,0.01366742597,0.006278555741,0.0294937472,0.05
23,25,mdcalc:10070,10070,ALBI (Albumin-Bilirubin) Grade for Hepatocellular Carcinoma (HCC),https://www.mdcalc.com/calc/10070/albi-albumin-bilirubin-grade-hepatocellular-carcinoma-hcc,ALBI (Albumin-Bilirubin) Grade for Hepatocellular Carcinoma (HCC),Progression to malignant middle cerebral artery infarction after acute MCA ischemic stroke,"MacCallum et al., 2014",ASPECTS ≤7 = positive/high risk; ASPECTS >7 = negative/lower risk,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,226,54,16,54,102,156,0.6902654867,0.4778761062,0.3461538462,0.2760062701,0.4236961703,
24,26,mdcalc:3998,3998,ALT-70 Score for Cellulitis,https://www.mdcalc.com/calc/3998/alt-70-score-cellulitis,ALT-70 Score for Cellulitis,Lower-extremity cellulitis versus pseudocellulitis,"Pulia et al., 2024",Binary validation cutoff: ALT-70 ≥3 = positive; ≤2 = negative,Prognosis,Unclear,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,175,83,71,1,20,21,0.12,0.48,0.04761904762,0.00845598781,0.2266936007,
25,27,mdcalc:10343,10343,Altitude-Adjusted PERC Rule,https://www.mdcalc.com/calc/10343/altitude-adjusted-perc-rule,Altitude-Adjusted PERC Rule,Pulmonary embolism,"Wolf et al., 2008, Assessment of the Pulmonary Embolism Rule-out Criteria rule for evaluation of suspected pulmonary embolism in the emergency department","PERC negative when all eight criteria absent; altitude-adjusted oxygen-saturation threshold ≥90% at approximately 5,280 ft","Diagnosis, Rule Out",Unclear,v1_raw,human-extracted,Low-moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,134,16,99,0,19,19,0.1417910448,0.1194029851,0,0,0.1681792241,0.2
26,28,mdcalc:617,617,Alvarado Score for Acute Appendicitis,https://www.mdcalc.com/calc/617/alvarado-score-acute-appendicitis,Alvarado Score for Acute Appendicitis,Appendicitis,"McKay, Robert, and Jessica Shepherd. “The use of the clinical scoring system by Alvarado in the decision to perform computed tomography for acute appendicitis in the ED.” The American journal of emergency medicine vol. 25,5 (2007): 489-93. doi:10.1016/j.ajem.2006.08.020",Score ≥7 (rule in),Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,147,28,8,23,88,111,0.7551020408,0.3469387755,0.2072072072,0.1422291716,0.291773142,
27,29,mdcalc:617,617,Alvarado Score for Acute Appendicitis,https://www.mdcalc.com/calc/617/alvarado-score-acute-appendicitis,Alvarado Score for Acute Appendicitis,Appendicitis,"McKay, Robert, and Jessica Shepherd. “The use of the clinical scoring system by Alvarado in the decision to perform computed tomography for acute appendicitis in the ED.” The American journal of emergency medicine vol. 25,5 (2007): 489-93. doi:10.1016/j.ajem.2006.08.021",Score <4 (rule out); test-positive threshold ≥4,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,147,49,43,2,53,55,0.3741496599,0.3469387755,0.03636363636,0.01002954129,0.1232346397,0.2
28,30,mdcalc:4020,4020,American Diabetes Association (ADA) Risk Calculator,https://www.mdcalc.com/calc/4020/american-diabetes-association-ada-risk-calculator,American Diabetes Association (ADA) Risk Calculator,Undiagnosed type 2 diabetes,"Woo et al., 2017, Validation of the diabetes screening tools proposed by the American Diabetes Association in an aging Chinese population",ADA risk score ≥5,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1415,76,571,19,749,768,0.5427561837,0.06713780919,0.02473958333,0.01589434303,0.0383155706,0.05
29,31,mdcalc:10439,10439,American University of Beirut (AUB)-HAS2 Cardiovascular Risk Index,https://www.mdcalc.com/calc/10439/american-university-beirut-aub-has2-cardiovascular-risk-index,American University of Beirut (AUB)-HAS2 Cardiovascular Risk Index,"Perioperative death, myocardial infarction, or stroke after noncardiac surgery","Li et al., 2026, Performance of the AUB-HAS2 cardiovascular risk index in coronary artery disease: a multicenter retrospective cohort study",AUB-HAS2 ≥2,Prognosis,Cohort/consecutive,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,10294,273,3218,101,6702,6803,0.6608704099,0.03633184379,0.0148463913,0.01223415833,0.01800621968,0.02
30,32,mdcalc:4060,4060,Aortic Dissection Detection Risk Score (ADD-RS),https://www.mdcalc.com/calc/4060/aortic-dissection-detection-risk-score-add-rs,Aortic Dissection Detection Risk Score (ADD-RS),Acute aortic syndrome,"Nazerian et al., 2018, Diagnostic Accuracy of the Aortic Dissection Detection Risk Score Plus D-Dimer for Acute Aortic Syndromes: The ADvISED Prospective Multicenter Study",ADD-RS ≥1,"Diagnosis, Rule Out",Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1850,229,1183,12,426,438,0.2367567568,0.1302702703,0.02739726027,0.01574055429,0.04727177346,0.05
31,33,mdcalc:1868,1868,APACHE II Score,https://www.mdcalc.com/calc/1868/apache-ii-score,APACHE II Score,In-hospital mortality among adult ICU patients,"Tian et al., 2022, Dynamic APACHE II Score to Predict the Outcome of Intensive Care Unit Patients",Day-3 APACHE II ≥17,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,6374,928,3081,288,2077,2365,0.3710385943,0.1907750235,0.1217758985,0.1092056518,0.1355728481,0.2
32,34,mdcalc:10104,10104,Apfel Score for Postoperative Nausea and Vomiting,https://www.mdcalc.com/calc/10104/apfel-score-postoperative-nausea-vomiting,Apfel Score for Postoperative Nausea and Vomiting,Postoperative nausea or vomiting within 24 hours,"Sherif et al., 2015, Validation of the Apfel Scoring System for Identification of High-risk Patients for PONV",Apfel score ≥3,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,150,36,18,27,69,96,0.64,0.42,0.28125,0.2010741084,0.3782589613,
33,35,mdcalc:23,23,APGAR Score,https://www.mdcalc.com/calc/23/apgar-score,APGAR Score,Mortality before discharge in very-preterm infants,"Ehrhardt et al., EPICE-SHIPS multinational prospective population-based cohort, published online 2025",5-minute APGAR <7,"Prognosis, Formula",Cohort/consecutive,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,7396,534,960,406,5496,5902,0.7979989183,0.1270957274,0.0687902406,0.06260965831,0.07553178427,0.1
34,36,mdcalc:3984,3984,Appendicitis Inflammatory Response (AIR) Score,https://www.mdcalc.com/calc/3984/appendicitis-inflammatory-response-air-score,Appendicitis Inflammatory Response (AIR) Score,Acute appendicitis,"Andersson et al., 2021, prospective multicenter external validation at 25 Swedish hospitals",AIR ≥5,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,3878,1377,921,168,1412,1580,0.4074265085,0.3984012378,0.1063291139,0.092072693,0.1224951584,0.2
35,37,mdcalc:10022,10022,ARISCAT Score for Postoperative Pulmonary Complications,https://www.mdcalc.com/calc/10022/ariscat-score-postoperative-pulmonary-complications,ARISCAT Score for Postoperative Pulmonary Complications,Postoperative pulmonary complications,"Mazo et al., 2014, PERISCOPE prospective external validation across 63 European centers",ARISCAT ≥26,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,5099,280,1162,124,3533,3657,0.7171994509,0.07923122181,0.03390757451,0.02851335986,0.04027996584,0.05
36,38,mdcalc:306,306,ASAS Criteria for Axial Spondyloarthritis (SpA),https://www.mdcalc.com/calc/306/asas-criteria-axial-spondyloarthritis-spa,ASAS Criteria for Axial Spondyloarthritis (SpA),Axial spondyloarthritis,"Rudwaleit et al., 2009, prospective international ASAS development and validation cohort",Meets either complete imaging arm or clinical arm,Diagnosis,Cohort/consecutive,v1_raw,human-extracted,Moderate -high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,649,324,40,67,218,285,0.4391371341,0.6024653313,0.2350877193,0.1895807749,0.2876410872,
37,39,mdcalc:10032,10032,ASAS Criteria for Peripheral SpondyloArthritis (SpA),https://www.mdcalc.com/calc/10032/asas-criteria-peripheral-spondyloarthritis-spa,ASAS Criteria for Peripheral Spondyloarthritis (SpA),Peripheral spondyloarthritis,"Rudwaleit et al., 2011, prospective international ASAS development and validation cohort",Meets complete ASAS peripheral SpA criteria,Diagnosis,Cohort/consecutive,v1_raw,human-extracted,Moderate -high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,266,137,16,39,74,113,0.4248120301,0.6616541353,0.3451327434,0.2638717614,0.4365770318,
38,40,mdcalc:3398,3398,ASCVD 2013 Risk Calculator,https://www.mdcalc.com/calc/3398/ascvd-atherosclerotic-cardiovascular-disease-2013-risk-calculator-aha-acc,ASCVD 2013 Risk Calculator from AHA/ACC,First major ASCVD event within 10 years,"Chia et al., 2014, 10-year retrospective external validation in a Malaysian primary-care cohort",Predicted 10-year ASCVD risk ≥7.5%,"Prognosis, Formula",Cohort/consecutive,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,922,37,518,8,359,367,0.3980477223,0.04880694143,0.02179836512,0.01108606023,0.04241782492,0.05
39,41,mdcalc:3094,3094,AST to Platelet Ratio Index (APRI),https://www.mdcalc.com/calc/3094/ast-platelet-ratio-index-apri,AST to Platelet Ratio Index (APRI),Histologic cirrhosis in chronic hepatitis B,"Chen et al., 2013, liver-biopsy-referenced split-sample validation cohort",APRI ≥2.0,Formula,Cohort/consecutive,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,148,12,8,7,121,128,0.8648648649,0.1283783784,0.0546875,0.02674020138,0.1085849003,0.2
40,42,mdcalc:10495,10495,Asthma Impairment and Risk Questionnaire (AIRQ),https://www.mdcalc.com/calc/10495/asthma-impairment-risk-questionnaire-airq,Asthma Impairment and Risk Questionnaire (AIRQ),Not well-controlled or very poorly controlled asthma,"Kanniess et al., 2024, external cross-sectional validation of the German AIRQ",AIRQ ≥2,Prognosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,300,175,17,29,79,108,0.36,0.68,0.2685185185,0.1939490139,0.3589895786,
41,43,mdcalc:3381,3381,Asthma Predictive Index (API),https://www.mdcalc.com/calc/3381/asthma-predictive-index-api,Asthma Predictive Index (API),Active asthma at age 5–6 years among preschool children with recurrent wheezing,"Rodríguez-Martínez CE, Sossa-Briceño MP, Castro-Rodríguez JA. Pediatric Pulmonology. 2011;46:1175–1181. Prospective external validation in Bogotá, Colombia.",Positive stringent API: ≥3 wheezing episodes/year plus ≥1 major criterion or ≥2 minor criteria,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,124,12,20,16,76,92,0.7419354839,0.2258064516,0.1739130435,0.1099816966,0.2639844268,
42,44,mdcalc:3967,3967,ASTRAL Score for Ischemic Stroke,https://www.mdcalc.com/calc/3967/astral-score-stroke,ASTRAL Score for Ischemic Stroke,"Poor 3-month functional outcome following acute ischemic stroke, defined as mRS 3–6","Kuroda et al. Comparative analysis of prognostic scores for functional outcome after ischemic stroke. Journal of the Neurological Sciences, 2025. External validation using the prospective multicenter Fukuoka Stroke Registry.","ASTRAL score ≥31, corresponding to an estimated ≥50% probability of unfavorable outcome",Prognosis,Unclear,v1_raw,human-extracted,Moderate-high,Moderate-high,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,5830,1474,940,488,2928,3416,0.5859348199,0.336535163,0.1428571429,0.1315234912,0.1549931414,0.2
